Date : 2024-03-06 19:51:57
Directory : c:\Users\kukohfr\Desktop\webdesa
Total : 352 files,  121897 codes, 8974 comments, 21133 blanks, all 152004 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         44 |     49,727 |      1,344 |     11,364 |     62,435 |
| XML        |         19 |     29,204 |         38 |        570 |     29,812 |
| JavaScript |        105 |     20,273 |      5,066 |      5,152 |     30,491 |
| JSON       |          5 |      9,189 |          0 |          3 |      9,192 |
| PHP        |        150 |      8,053 |      1,708 |      3,300 |     13,061 |
| SCSS       |         25 |      4,665 |        317 |        457 |      5,439 |
| SQL        |          2 |        714 |        501 |        266 |      1,481 |
| Markdown   |          1 |         59 |          0 |         20 |         79 |
| YAML       |          1 |         13 |          0 |          1 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        352 |    121,897 |      8,974 |     21,133 |    152,004 |
| . (Files)                                                                                               |         11 |     10,021 |        529 |        305 |     10,855 |
| app                                                                                                     |         61 |      1,752 |        518 |        912 |      3,182 |
| app (Files)                                                                                             |         16 |        142 |         17 |         80 |        239 |
| app\Console                                                                                             |          1 |         17 |         19 |          7 |         43 |
| app\Exceptions                                                                                          |          1 |         17 |          9 |          5 |         31 |
| app\Http                                                                                                |         35 |      1,430 |        379 |        773 |      2,582 |
| app\Http (Files)                                                                                        |          1 |         49 |         27 |          9 |         85 |
| app\Http\Controllers                                                                                    |         26 |      1,292 |        293 |        729 |      2,314 |
| app\Http\Controllers (Files)                                                                            |         20 |      1,197 |        176 |        688 |      2,061 |
| app\Http\Controllers\Auth                                                                               |          6 |         95 |        117 |         41 |        253 |
| app\Http\Middleware                                                                                     |          8 |         89 |         59 |         35 |        183 |
| app\Imports                                                                                             |          3 |         60 |         16 |         13 |         89 |
| app\Providers                                                                                           |          5 |         86 |         78 |         34 |        198 |
| bootstrap                                                                                               |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                  |         14 |        547 |        787 |        244 |      1,578 |
| database                                                                                                |         19 |        396 |        187 |         85 |        668 |
| database\factories                                                                                      |          1 |         13 |         11 |          5 |         29 |
| database\migrations                                                                                     |         17 |        375 |        170 |         77 |        622 |
| database\seeds                                                                                          |          1 |          8 |          6 |          3 |         17 |
| public                                                                                                  |        189 |    103,838 |      6,773 |     17,539 |    128,150 |
| public (Files)                                                                                          |          2 |         33 |         44 |         13 |         90 |
| public\assets                                                                                           |        119 |     71,550 |      4,941 |     13,902 |     90,393 |
| public\assets\css                                                                                       |          8 |     28,526 |        235 |      8,325 |     37,086 |
| public\assets\data                                                                                      |          2 |          9 |          0 |          0 |          9 |
| public\assets\fonts                                                                                     |         10 |     23,127 |         18 |        561 |     23,706 |
| public\assets\js                                                                                        |         22 |     13,564 |      3,514 |      3,687 |     20,765 |
| public\assets\js (Files)                                                                                |          5 |     13,547 |      3,514 |      3,687 |     20,748 |
| public\assets\js\pages                                                                                  |         17 |         17 |          0 |          0 |         17 |
| public\assets\libs                                                                                      |         77 |      6,324 |      1,174 |      1,329 |      8,827 |
| public\assets\libs\bootstrap-colorpicker                                                                |          2 |          2 |         17 |          1 |         20 |
| public\assets\libs\bootstrap-datepicker                                                                 |          2 |          3 |         10 |          2 |         15 |
| public\assets\libs\bootstrap-daterangepicker                                                            |          2 |      1,495 |        116 |        366 |      1,977 |
| public\assets\libs\bootstrap-maxlength                                                                  |          1 |          1 |          8 |          1 |         10 |
| public\assets\libs\bootstrap-select                                                                     |          2 |          2 |         12 |          1 |         15 |
| public\assets\libs\bootstrap-tagsinput                                                                  |          2 |         56 |          9 |          3 |         68 |
| public\assets\libs\bootstrap-timepicker                                                                 |          2 |          2 |         13 |          0 |         15 |
| public\assets\libs\chart-js                                                                             |          1 |          1 |          9 |          0 |         10 |
| public\assets\libs\chartist                                                                             |          3 |          4 |         13 |          2 |         19 |
| public\assets\libs\custombox                                                                            |          2 |          2 |         16 |          0 |         18 |
| public\assets\libs\datatables                                                                           |         16 |        365 |         36 |         15 |        416 |
| public\assets\libs\dropzone                                                                             |          2 |          3 |          0 |          1 |          4 |
| public\assets\libs\flot-charts                                                                          |          9 |      3,656 |        843 |        924 |      5,423 |
| public\assets\libs\fullcalendar                                                                         |          2 |          8 |          9 |          0 |         17 |
| public\assets\libs\gmaps                                                                                |          1 |          1 |          1 |          0 |          2 |
